Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR5364315_1	67.42847387936766	47.0	100.0	100	20.0	53.581252
SRR5364315_2	63.76062987099689	47.0	100.0	100	20.0	53.581252
SRR5364316_1	64.08509110225964	46.0	100.0	100	20.0	45.499491
SRR5364316_2	60.524389930015964	47.0	100.0	100	20.0	45.499491
SRR5364317_1	61.65740493733795	46.0	100.0	100	20.0	42.861591999999995
SRR5364317_2	58.78900660168383	47.0	100.0	100	20.0	42.861591999999995
SRR5364318_1	63.65485698641017	46.0	100.0	100	20.0	43.913706999999995
SRR5364318_2	60.36290817460523	47.0	100.0	100	20.0	43.913706999999995
SRR5364334_1	68.51715175414324	47.0	100.0	100	20.0	54.145627
SRR5364334_2	64.81076497392317	48.0	100.0	100	20.0	54.145627
SRR5364335_1	66.01115633415176	47.0	100.0	100	20.0	45.942827
SRR5364335_2	63.16681622714512	48.0	100.0	100	20.0	45.942827
SRR5364336_1	67.90310550934231	47.0	100.0	100	20.0	56.391166999999996
SRR5364336_2	64.24295068309982	47.0	100.0	100	20.0	56.391166999999996
SRR5364337_1	64.66201334123699	47.0	100.0	100	20.0	42.695102
SRR5364337_2	61.73862752993752	47.0	100.0	100	20.0	42.695102
